Date,Close,Date,Close,Date,Close
8/9/2017 16:00:00,20.09,11/22/2016 16:00:00,28.42,11/30/2016 16:00:00,21.55
8/10/2017 16:00:00,19.75,11/23/2016 16:00:00,28.51,12/1/2016 16:00:00,21.06
8/11/2017 16:00:00,19.7,11/25/2016 16:00:00,28.41,12/2/2016 16:00:00,20.98
8/14/2017 16:00:00,20,11/28/2016 16:00:00,28.44,12/5/2016 16:00:00,21.32
8/15/2017 16:00:00,20.01,11/29/2016 16:00:00,28.42,12/6/2016 16:00:00,21.76
8/16/2017 16:00:00,20.1,11/30/2016 16:00:00,28.37,12/7/2016 16:00:00,21.68
8/17/2017 16:00:00,20.07,12/1/2016 16:00:00,28.19,12/8/2016 16:00:00,22.32
8/18/2017 16:00:00,20.05,12/2/2016 16:00:00,28.15,12/9/2016 16:00:00,22.28
8/21/2017 16:00:00,20.02,12/5/2016 16:00:00,28.38,12/12/2016 16:00:00,22.12
8/22/2017 16:00:00,20.27,12/6/2016 16:00:00,28.62,12/13/2016 16:00:00,22.41
8/23/2017 16:00:00,20.31,12/7/2016 16:00:00,28.88,12/14/2016 16:00:00,22.4
8/24/2017 16:00:00,20.25,12/8/2016 16:00:00,29.16,12/15/2016 16:00:00,22.36
8/25/2017 16:00:00,20.18,12/9/2016 16:00:00,29.14,12/16/2016 16:00:00,22.35
8/28/2017 16:00:00,20.28,12/12/2016 16:00:00,28.91,12/19/2016 16:00:00,22.42
8/29/2017 16:00:00,20.31,12/13/2016 16:00:00,29.13,12/20/2016 16:00:00,22.45
8/30/2017 16:00:00,20.37,12/14/2016 16:00:00,28.79,12/21/2016 16:00:00,22.38
8/31/2017 16:00:00,20.5,12/15/2016 16:00:00,28.93,12/22/2016 16:00:00,22.19
9/1/2017 16:00:00,20.62,12/16/2016 16:00:00,28.63,12/23/2016 16:00:00,22.39
9/5/2017 16:00:00,20.53,12/19/2016 16:00:00,28.74,12/27/2016 16:00:00,22.72
9/6/2017 16:00:00,20.59,12/20/2016 16:00:00,28.74,12/28/2016 16:00:00,22.29
9/7/2017 16:00:00,20.75,12/21/2016 16:00:00,28.7,12/29/2016 16:00:00,22.07
9/8/2017 16:00:00,20.87,12/22/2016 16:00:00,28.65,12/30/2016 16:00:00,21.96
9/11/2017 16:00:00,21.14,12/23/2016 16:00:00,28.63,1/3/2017 16:00:00,22.24
9/12/2017 16:00:00,21.28,12/27/2016 16:00:00,28.79,1/4/2017 16:00:00,22.65
9/13/2017 16:00:00,21.2,12/28/2016 16:00:00,28.63,1/5/2017 16:00:00,22.49
9/14/2017 16:00:00,21.28,12/29/2016 16:00:00,28.65,1/6/2017 16:00:00,22.65
9/15/2017 16:00:00,21.43,12/30/2016 16:00:00,28.65,1/9/2017 16:00:00,22.9
9/18/2017 16:00:00,21.62,1/3/2017 16:00:00,28.99,1/10/2017 16:00:00,22.92
9/19/2017 16:00:00,21.74,1/4/2017 16:00:00,29.28,1/11/2017 16:00:00,22.91
9/20/2017 16:00:00,21.86,1/5/2017 16:00:00,29.26,1/12/2017 16:00:00,22.9
9/21/2017 16:00:00,21.5,1/6/2017 16:00:00,29.35,1/13/2017 16:00:00,23.21
9/22/2017 16:00:00,21.45,1/9/2017 16:00:00,29.43,1/17/2017 16:00:00,22.92
9/25/2017 16:00:00,21.43,1/10/2017 16:00:00,29.37,1/18/2017 16:00:00,22.99
9/26/2017 16:00:00,21.22,1/11/2017 16:00:00,29.55,1/19/2017 16:00:00,23.14
9/27/2017 16:00:00,21.43,1/12/2017 16:00:00,29.53,1/20/2017 16:00:00,23.22
9/28/2017 16:00:00,21.58,1/13/2017 16:00:00,29.71,1/23/2017 16:00:00,23.08
9/29/2017 16:00:00,21.75,1/17/2017 16:00:00,29.42,1/24/2017 16:00:00,23.39
10/2/2017 16:00:00,21.92,1/18/2017 16:00:00,29.52,1/25/2017 16:00:00,23.69
10/3/2017 16:00:00,22.08,1/19/2017 16:00:00,29.59,1/26/2017 16:00:00,23.57
10/4/2017 16:00:00,22.14,1/20/2017 16:00:00,29.88,1/27/2017 16:00:00,23.56
10/5/2017 16:00:00,22.08,1/23/2017 16:00:00,29.74,1/30/2017 16:00:00,23.34
10/6/2017 16:00:00,21.95,1/24/2017 16:00:00,30.09,1/31/2017 16:00:00,23.37
10/9/2017 16:00:00,22.07,1/25/2017 16:00:00,30.73,2/1/2017 16:00:00,23.41
10/10/2017 16:00:00,22.18,1/26/2017 16:00:00,30.53,2/2/2017 16:00:00,23.51
10/11/2017 16:00:00,22.3,1/27/2017 16:00:00,30.5,2/3/2017 16:00:00,23.71
